Rank,Name,Course,Category
242,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
243,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,SC
244,AIIMS  Bhubaneswar AT - Sijua  POST - DUMUDUMA  BHUBANESWAR-751019 ,MBBS,Open
245,MEDICAL COLLEGE  SURAT Out Side Majura Gate  New Civil Hospital,MBBS,Open
246,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
247,AIIMS  Jodhpur BASNI PHASE - II  JODHPUR-342005  Rajasthan  342005,MBBS,Open
248,G.S. MEDICAL COLLEGE  MUMBAI ACHARYA DONDE MARG PAREL,MBBS,Open
249,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
250,AIIMS  Jodhpur BASNI PHASE - II  JODHPUR-342005  Rajasthan  342005,MBBS,Open
251,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,OBC
252,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,OBC
253,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
254,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,OBC
255,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,OBC
256,AIIMS  Bhubaneswar AT - Sijua  POST - DUMUDUMA  BHUBANESWAR-751019 ,MBBS,Open
257,College of Medical Sciences  New Delhi Dilshad Garden  Delhi (NCT)  110095,MBBS,Open
258,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,EWS
259,AIIMS  Bhubaneswar AT - Sijua  POST - DUMUDUMA  BHUBANESWAR-751019 ,MBBS,Open
260,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
261,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
262,College of Medical Sciences  New Delhi Dilshad Garden  Delhi (NCT)  110095,MBBS,Open
263,MEDICAL COLLEGE  AHMEDABAD B J Medical College  New Civil Hospital,MBBS,Open
264,AIIMS  Jodhpur BASNI PHASE - II  JODHPUR-342005  Rajasthan  342005,MBBS,Open
